"","UniqueReceptionTime","MD5_Hash","Label","PennType","Parameter","EventTime","vies","item","frase","lista","genero","escolaridade","nativo","resposta","minhaescala"
"21",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744645133","coletivo",60,"Os companheiros carregaram um caminhão.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"22",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744670740","teste",20,"As arquitetas reformaram um cômodo.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"23",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744696098","teste",19,"As jornalistas investigaram um caso.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"24",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744721066","teste",26,"Os diretores dirigiram uma série.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"25",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744748147","distributivo",41,"As costureiras conseguiram um emprego.","B","Feminino","Pós-Graduação","Sim","Apenas um","4"
"26",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744777652","teste",13,"As presidiárias bloquearam uma passagem.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"27",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744802507","coletivo",49,"Os ajudantes ergueram um piano.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"28",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744829420","coletivo",58,"Os construtores reformaram uma praça.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"29",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744855075","distributivo",39,"As alunas mascaram um chiclete.","B","Feminino","Pós-Graduação","Sim","Mais de um","5"
"30",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744880884","teste",14,"Os estudantes comeram uma salada.","B","Feminino","Pós-Graduação","Sim","Mais de um","5"
"31",1631744919,"2e843390952a2710f741bb6adb4c6df9","experiment","Scale","Choice","1631744906747","distributivo",38,"Os hóspedes engoliram uma azeitona.","B","Feminino","Pós-Graduação","Sim","Mais de um","5"
"32",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744588372","coletivo",63,"Os jardineiros capinaram um jardim.","B","Masculino","Ensino Superior completo","Sim","Apenas um","5"
"33",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744621339","coletivo",60,"Os companheiros carregaram um caminhão.","B","Masculino","Ensino Superior completo","Sim","Apenas um","5"
"34",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744648475","distributivo",38,"Os hóspedes engoliram uma azeitona.","B","Masculino","Ensino Superior completo","Sim","Apenas um","4"
"35",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744675710","distributivo",39,"As alunas mascaram um chiclete.","B","Masculino","Ensino Superior completo","Sim","Mais de um","5"
"36",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744743496","teste",9,"As diaristas varreram um escritório.","B","Masculino","Ensino Superior completo","Sim","Apenas um","5"
"37",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744770164","distributivo",41,"As costureiras conseguiram um emprego.","B","Masculino","Ensino Superior completo","Sim","Mais de um","5"
"38",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744801504","coletivo",49,"Os ajudantes ergueram um piano.","B","Masculino","Ensino Superior completo","Sim","Apenas um","5"
"39",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744828079","teste",19,"As jornalistas investigaram um caso.","B","Masculino","Ensino Superior completo","Sim","Mais de um","5"
"40",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744857151","teste",25,"Os funcionários podaram uma árvore.","B","Masculino","Ensino Superior completo","Sim","Apenas um","5"
"41",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744880992","coletivo",58,"Os construtores reformaram uma praça.","B","Masculino","Ensino Superior completo","Sim","Apenas um","5"
"42",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744909798","teste",26,"Os diretores dirigiram uma série.","B","Masculino","Ensino Superior completo","Sim","Apenas um","5"
"43",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744934745","teste",20,"As arquitetas reformaram um cômodo.","B","Masculino","Ensino Superior completo","Sim","Apenas um","5"
"44",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744961680","teste",10,"Os carregadores moveram uma mesa.","B","Masculino","Ensino Superior completo","Sim","Apenas um","5"
"45",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631744986959","teste",14,"Os estudantes comeram uma salada.","B","Masculino","Ensino Superior completo","Sim","Apenas um","4"
"46",1631745030,"e21f7f685f62fb8eb90a75f38583fb4a","experiment","Scale","Choice","1631745011473","distributivo",42,"As skatistas receberam uma medalha.","B","Masculino","Ensino Superior completo","Sim","Mais de um","5"
"47",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745690087","coletivo",51,"As zeladoras varreram um auditório.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"48",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745714145","coletivo",50,"Os empregados cercaram um prédio.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"49",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745737426","coletivo",55,"As biólogas despoluíram um rio.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"50",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745762619","distributivo",37,"Os idosos tomaram um comprimido.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"51",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745788480","distributivo",43,"As garotas mascaram um chiclete.","D","Feminino","Pós-Graduação","Sim","Apenas um","3"
"52",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745816700","teste",2,"Os escoteiros construíram uma jangada.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"53",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745839074","teste",6,"Os porteiros lavaram uma calçada.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"54",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745861769","teste",28,"Os turistas visitaram uma cidade.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"55",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745884317","teste",4,"As engenheiras consertaram um barco.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"56",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745909522","teste",32,"Os pintores restauraram um quadro.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"57",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745933740","distributivo",46,"Os acidentados realizaram uma radiografia.","D","Feminino","Pós-Graduação","Sim","Mais de um","5"
"58",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745957019","teste",31,"Os lavradores incendiaram um terreno.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"59",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631745979028","teste",1,"As manifestantes incendiaram um ônibus.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"60",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631746001428","coletivo",53,"Os prisioneiros cavaram um túnel.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"61",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631746023516","distributivo",45,"As grávidas fizeram um ultrassom.","D","Feminino","Pós-Graduação","Sim","Mais de um","5"
"62",1631746056,"75d7d169cd64b92073a582941c1a7f05","experiment","Scale","Choice","1631746046734","teste",8,"As crianças plantaram uma árvore.","D","Feminino","Pós-Graduação","Sim","Mais de um","5"
"63",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746331010","coletivo",51,"As zeladoras varreram um auditório.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"64",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746356384","teste",4,"As engenheiras consertaram um barco.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"65",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746382974","distributivo",37,"Os idosos tomaram um comprimido.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"66",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746406014","teste",6,"Os porteiros lavaram uma calçada.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"67",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746430956","teste",32,"Os pintores restauraram um quadro.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"68",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746454333","teste",2,"Os escoteiros construíram uma jangada.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"69",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746479382","coletivo",50,"Os empregados cercaram um prédio.","D","Feminino","Pós-Graduação","Sim","Mais de um","5"
"70",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746503471","teste",8,"As crianças plantaram uma árvore.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"71",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746527402","distributivo",45,"As grávidas fizeram um ultrassom.","D","Feminino","Pós-Graduação","Sim","Mais de um","5"
"72",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746551524","distributivo",46,"Os acidentados realizaram uma radiografia.","D","Feminino","Pós-Graduação","Sim","Mais de um","5"
"73",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746575986","coletivo",53,"Os prisioneiros cavaram um túnel.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"74",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746598836","teste",31,"Os lavradores incendiaram um terreno.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"75",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746621443","teste",1,"As manifestantes incendiaram um ônibus.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"76",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746644256","coletivo",55,"As biólogas despoluíram um rio.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"77",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746667695","distributivo",43,"As garotas mascaram um chiclete.","D","Feminino","Pós-Graduação","Sim","Mais de um","5"
"78",1631746353,"89117904d83d69df49ebfc0e8a6ad421","experiment","Scale","Choice","1631746691467","teste",28,"Os turistas visitaram uma cidade.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"79",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631745862500","teste",2,"Os escoteiros construíram uma jangada.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"80",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631745890369","coletivo",53,"Os prisioneiros cavaram um túnel.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"81",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631745917754","teste",1,"As manifestantes incendiaram um ônibus.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"82",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631745946600","teste",4,"As engenheiras consertaram um barco.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"83",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631745973352","teste",28,"Os turistas visitaram uma cidade.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"84",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631745999985","distributivo",43,"As garotas mascaram um chiclete.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"85",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631746028660","coletivo",55,"As biólogas despoluíram um rio.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"86",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631746058268","teste",32,"Os pintores restauraram um quadro.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"87",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631746139335","teste",6,"Os porteiros lavaram uma calçada.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"88",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631746163875","teste",31,"Os lavradores incendiaram um terreno.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"89",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631746234850","distributivo",37,"Os idosos tomaram um comprimido.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"90",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631746272262","coletivo",50,"Os empregados cercaram um prédio.","D","Feminino","Ensino Superior completo","Sim","Mais de um","5"
"91",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631746339392","coletivo",51,"As zeladoras varreram um auditório.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"92",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631746424450","distributivo",46,"Os acidentados realizaram uma radiografia.","D","Feminino","Ensino Superior completo","Sim","Mais de um","5"
"93",1631746470,"922b75236035340e3a47129bcae948fd","experiment","Scale","Choice","1631746452473","distributivo",45,"As grávidas fizeram um ultrassom.","D","Feminino","Ensino Superior completo","Sim","Apenas um","5"
"94",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746482188","coletivo",58,"Os construtores reformaram uma praça.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"95",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746507366","coletivo",49,"Os ajudantes ergueram um piano.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"96",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746531577","teste",19,"As jornalistas investigaram um caso.","B","Feminino","Pós-Graduação","Sim","Mais de um","5"
"97",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746555207","distributivo",42,"As skatistas receberam uma medalha.","B","Feminino","Pós-Graduação","Sim","Apenas um","1"
"98",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746585034","teste",13,"As presidiárias bloquearam uma passagem.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"99",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746609330","distributivo",39,"As alunas mascaram um chiclete.","B","Feminino","Pós-Graduação","Sim","Apenas um","2"
"100",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746633436","teste",10,"Os carregadores moveram uma mesa.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"101",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746655419","distributivo",41,"As costureiras conseguiram um emprego.","B","Feminino","Pós-Graduação","Sim","Mais de um","5"
"102",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746680105","teste",20,"As arquitetas reformaram um cômodo.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"103",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746703284","teste",9,"As diaristas varreram um escritório.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"104",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746726474","coletivo",60,"Os companheiros carregaram um caminhão.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"105",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746748420","distributivo",38,"Os hóspedes engoliram uma azeitona.","B","Feminino","Pós-Graduação","Sim","Apenas um","1"
"106",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746772729","teste",25,"Os funcionários podaram uma árvore.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"107",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746793677","teste",26,"Os diretores dirigiram uma série.","B","Feminino","Pós-Graduação","Sim","Mais de um","5"
"108",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746817955","teste",14,"Os estudantes comeram uma salada.","B","Feminino","Pós-Graduação","Sim","Mais de um","5"
"109",1631746846,"e8419fb1428a10acf2829ab2f2cd8b5c","experiment","Scale","Choice","1631746838369","coletivo",63,"Os jardineiros capinaram um jardim.","B","Feminino","Pós-Graduação","Sim","Apenas um","5"
"110",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747051834","distributivo",43,"As garotas mascaram um chiclete.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"111",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747090279","distributivo",45,"As grávidas fizeram um ultrassom.","D","Feminino","Pós-Graduação","Sim","Mais de um","5"
"112",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747118020","coletivo",55,"As biólogas despoluíram um rio.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"113",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747147055","teste",2,"Os escoteiros construíram uma jangada.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"114",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747175369","teste",4,"As engenheiras consertaram um barco.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"115",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747203282","coletivo",50,"Os empregados cercaram um prédio.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"116",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747229690","teste",32,"Os pintores restauraram um quadro.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"117",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747255775","coletivo",53,"Os prisioneiros cavaram um túnel.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"118",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747282756","coletivo",51,"As zeladoras varreram um auditório.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"119",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747309831","teste",28,"Os turistas visitaram uma cidade.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"120",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747339311","teste",6,"Os porteiros lavaram uma calçada.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"121",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747370731","teste",31,"Os lavradores incendiaram um terreno.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"122",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747398366","distributivo",37,"Os idosos tomaram um comprimido.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"123",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747428640","teste",8,"As crianças plantaram uma árvore.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"124",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747454898","teste",1,"As manifestantes incendiaram um ônibus.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"125",1631747461,"fc2b8de71b54e3fb2779bac3abb312e6","experiment","Scale","Choice","1631747482621","distributivo",46,"Os acidentados realizaram uma radiografia.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"126",1631747813,"1daa84e8a971cf666b1eb84c1a07127e","experiment","Scale","Choice","1631747423316","teste",8,"As crianças plantaram uma árvore.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"127",1631747813,"1daa84e8a971cf666b1eb84c1a07127e","experiment","Scale","Choice","1631747451991","teste",1,"As manifestantes incendiaram um ônibus.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"128",1631747813,"1daa84e8a971cf666b1eb84c1a07127e","experiment","Scale","Choice","1631747478859","teste",6,"Os porteiros lavaram uma calçada.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"129",1631747813,"1daa84e8a971cf666b1eb84c1a07127e","experiment","Scale","Choice","1631747504836","coletivo",50,"Os empregados cercaram um prédio.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"130",1631747813,"1daa84e8a971cf666b1eb84c1a07127e","experiment","Scale","Choice","1631747531735","distributivo",43,"As garotas mascaram um chiclete.","D","Feminino","Pós-Graduação","Sim","Mais de um","5"
"131",1631747813,"1daa84e8a971cf666b1eb84c1a07127e","experiment","Scale","Choice","1631747563195","distributivo",37,"Os idosos tomaram um comprimido.","D","Feminino","Pós-Graduação","Sim","Mais de um","5"
"132",1631747813,"1daa84e8a971cf666b1eb84c1a07127e","experiment","Scale","Choice","1631747589711","teste",2,"Os escoteiros construíram uma jangada.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"133",1631747813,"1daa84e8a971cf666b1eb84c1a07127e","experiment","Scale","Choice","1631747615874","teste",4,"As engenheiras consertaram um barco.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
"134",1631747813,"1daa84e8a971cf666b1eb84c1a07127e","experiment","Scale","Choice","1631747640610","distributivo",46,"Os acidentados realizaram uma radiografia.","D","Feminino","Pós-Graduação","Sim","Mais de um","5"
"135",1631747813,"1daa84e8a971cf666b1eb84c1a07127e","experiment","Scale","Choice","1631747665789","teste",31,"Os lavradores incendiaram um terreno.","D","Feminino","Pós-Graduação","Sim","Apenas um","5"
